doi,esac_id,num_affiliations,count_affiliations,num_rors,count_affiliations_id_ror
10.1107/S205327332200626X,wiley2019deal,2,0,2,2
10.1107/S2052520623005814,wiley2019deal,3,0,3,11
10.1107/S1600577523001649,wiley2019deal,1,0,1,2
10.1107/S205252062300776X,wiley2019deal,1,0,1,1
10.1107/S1600576723000134,wiley2019deal,2,0,2,3
10.1107/S2053230X2300571X,wiley2019deal,1,0,1,4
10.1107/S1600577523003910,wiley2019deal,15,0,15,59
10.1107/S1600577522002284,wiley2019deal,5,0,5,27
10.1107/S160057672200293X,wiley2019deal,1,0,1,5
10.1107/S205252062200779X,wiley2019deal,1,0,1,3
10.1107/S1600576722010093,wiley2019deal,5,0,5,8
10.1107/S2059798322005009,wiley2019deal,1,0,1,1
10.1107/S1600576723002121,wiley2019deal,2,0,2,2
10.1107/S2059798323004254,wiley2019deal,1,0,1,2
10.1107/S2052520623000999,wiley2019deal,4,0,4,7
10.1107/S2052520622002645,wiley2019deal,2,0,2,4
10.1107/S1600576723007446,wiley2019deal,1,0,1,5
10.1107/S1600576722004691,wiley2019deal,2,0,2,6
10.1107/S1600576723007215,wiley2019deal,1,0,1,5
10.1107/S1600577522008025,wiley2019deal,2,0,2,13
10.1107/S2053230X23005721,wiley2019deal,1,0,1,4
10.1107/S1600576723009068,wiley2019deal,3,0,3,3
10.1107/S1600577522005720,wiley2019deal,4,0,4,15
10.1107/S1600577522004489,wiley2019deal,3,0,3,10
10.1107/S1600577522003551,wiley2019deal,1,0,1,21
10.1107/S1600576723000857,wiley2019deal,4,0,4,4
10.1107/S2059798323006137,wiley2019deal,1,0,1,10
10.1107/S1600576722001261,wiley2019deal,1,0,1,3
10.1107/S2059798322003928,wiley2019deal,1,0,1,4
10.1107/S1600577522002685,wiley2019deal,3,0,3,3
10.1107/S1600577521012650,wiley2019deal,1,0,1,8
10.1107/S1600577522012085,wiley2019deal,2,0,2,26
10.1107/S2053230X22009736,wiley2019deal,1,0,1,5
10.1107/S2053229622011536,wiley2019deal,1,0,1,3
10.1107/S2052520622009660,wiley2019deal,2,0,2,2
10.1107/S1600577522007342,wiley2019deal,1,0,1,5
10.1107/S2052520623000434,wiley2019deal,1,0,1,2
10.1107/S2053230X22007853,wiley2019deal,1,0,1,6
10.1107/S1600577522007573,wiley2019deal,3,0,3,8
10.1107/S1600576723007203,wiley2019deal,1,0,1,5
10.1107/S1600576723006714,wiley2019deal,1,0,1,6
10.1107/S1600576723003795,wiley2019deal,2,0,2,8
10.1107/S2053273323001948,wiley2019deal,1,0,1,3
10.1107/S2053273323004990,wiley2019deal,1,0,1,1
10.1107/S1600576723007720,wiley2019deal,1,0,1,1
10.1107/S1600576722011566,wiley2019deal,1,0,1,7
10.1107/S205252062300327X,wiley2019deal,1,0,1,1
10.1107/S2052520622004954,wiley2019deal,1,0,1,2
10.1107/S1600577523003491,wiley2019deal,1,0,1,1
10.1107/S1600577522007019,wiley2019deal,3,0,3,3
