publication_year,esac_publisher,total_dois,author_position_pct,author_pct,institutions_pct,countries_pct,is_corresponding_pct,raw_author_name_pct,raw_affiliation_strings_pct,affiliations_pct,walden_author_position_pct,walden_author_pct,walden_institutions_pct,walden_countries_pct,walden_is_corresponding_pct,walden_raw_author_name_pct,walden_raw_affiliation_strings_pct,walden_affiliations_pct
2022,Karger,4451,96.97,96.97,98.43,99.39,96.97,96.97,99.48,99.48,96.81,96.81,30.62,30.62,96.81,96.81,26.22,26.22
2023,Karger,4548,95.78,95.78,97.49,98.22,95.78,95.78,98.26,98.26,95.69,95.69,21.39,21.39,95.69,95.69,19.06,19.06
2024,Karger,4646,95.63,95.63,81.7,82.18,95.63,95.63,82.26,82.26,95.61,95.61,11.62,11.62,95.61,95.61,19.61,19.61
2025,Karger,3544,97.23,97.23,28.72,28.98,97.23,97.23,28.98,28.98,97.26,97.26,11.94,11.94,97.26,97.26,65.38,65.38
2018,Oxford University Press,54274,97.87,97.87,94.22,95.12,97.87,97.87,95.91,95.91,97.9,97.9,93.62,93.62,97.9,97.9,93.05,93.05
2019,Oxford University Press,55266,98.11,98.11,94.07,94.89,98.11,98.11,95.61,95.61,98.15,98.15,93.71,93.71,98.15,98.15,93.21,93.21
2020,Oxford University Press,62395,98.17,98.17,94.18,95.08,98.17,98.17,95.61,95.61,98.18,98.18,93.59,93.59,98.18,98.18,93.05,93.05
2021,Oxford University Press,60302,98.35,98.35,94.55,95.53,98.35,98.35,95.81,95.81,98.39,98.39,93.85,93.85,98.39,98.39,92.61,92.61
2022,Oxford University Press,54355,98.64,98.64,95.21,96.24,98.64,98.64,96.46,96.46,98.64,98.64,94.89,94.89,98.64,98.64,93.89,93.89
2023,Oxford University Press,56251,98.78,98.78,95.1,96.18,98.78,98.78,96.46,96.46,98.76,98.76,94.68,94.68,98.76,98.76,94.95,94.95
2024,Oxford University Press,57265,98.77,98.77,95.71,96.52,98.77,98.77,96.91,96.91,98.77,98.77,95.46,95.46,98.77,98.77,95.81,95.81
2025,Oxford University Press,34186,98.78,98.78,95.44,96.06,98.78,98.78,96.95,96.95,98.8,98.8,96.01,96,98.8,98.8,96.5,96.5
2018,Portland Press,1269,100,100,98.58,99.76,100,100,99.84,99.84,100,100,98.66,98.66,100,100,98.5,98.5
2019,Portland Press,1423,100,100,99.3,99.93,100,100,100,100,100,100,99.3,99.3,100,100,98.95,98.95
2020,Portland Press,1653,99.27,99.27,98.73,99.94,99.27,99.27,100,100,99.33,99.33,98.91,98.91,99.33,99.33,98.85,98.85
2021,Portland Press,1168,98.29,98.29,99.06,99.91,98.29,98.29,99.91,99.91,98.37,98.37,99.32,99.32,98.37,98.37,98.37,98.37
2022,Portland Press,757,99.21,99.21,99.87,100,99.21,99.21,100,100,99.21,99.21,99.87,99.87,99.21,99.21,99.08,99.08
2023,Portland Press,630,99.52,99.52,99.52,99.68,99.52,99.52,99.84,99.84,99.52,99.52,99.68,99.68,99.52,99.52,98.41,98.41
2024,Portland Press,552,98.73,98.73,99.28,99.64,98.73,98.73,99.82,99.82,98.73,98.73,99.28,99.28,98.73,98.73,98.73,98.73
2025,Portland Press,227,96.92,96.92,99.12,100,96.92,96.92,100,100,96.92,96.92,99.12,99.12,96.92,96.92,100,100
2018,Royal Society of Chemistry,33838,97.07,97.07,99.86,99.95,97.07,97.07,99.99,99.99,97.07,97.07,99.4,99.4,97.07,97.07,99.3,99.3
2019,Royal Society of Chemistry,34978,97.02,97.02,99.82,99.89,97.02,97.02,99.95,99.95,97.01,97.01,99.36,99.36,97.01,97.01,98.94,98.94
2020,Royal Society of Chemistry,36472,97.07,97.07,99.81,99.94,97.07,97.07,99.97,99.97,97.08,97.08,99.47,99.47,97.08,97.08,98.84,98.84
2021,Royal Society of Chemistry,34767,96.61,96.61,99.7,99.83,96.61,96.61,99.9,99.9,96.61,96.61,99.49,99.49,96.61,96.61,98.76,98.76
2022,Royal Society of Chemistry,34363,96.56,96.56,99.62,99.83,96.56,96.56,99.92,99.92,96.56,96.56,99.62,99.62,96.56,96.56,98.95,98.95
2023,Royal Society of Chemistry,34876,96.75,96.75,99.62,99.8,96.75,96.75,99.91,99.91,96.63,96.63,99.64,99.64,96.63,96.63,99.34,99.34
2024,Royal Society of Chemistry,36847,96.81,96.81,93.72,93.93,96.81,96.81,94.1,94.1,96.63,96.63,99.5,99.5,96.63,96.63,99.52,99.52
2025,Royal Society of Chemistry,24725,96.1,96.1,76.55,76.87,96.1,96.1,76.93,76.93,96.1,96.1,99.3,99.3,96.1,96.1,99.44,99.44
2018,Sage,67448,97.71,97.71,90.22,91.93,97.71,97.71,92.9,92.9,97.8,97.8,89.75,89.75,97.8,97.8,91.55,91.55
2019,Sage,70642,98.09,98.09,90.89,92.57,98.09,98.09,93.53,93.53,98.15,98.15,90.36,90.36,98.15,98.15,92.12,92.12
2020,Sage,78505,98.41,98.41,92.23,93.94,98.41,98.41,94.73,94.73,98.48,98.48,91.8,91.8,98.48,98.48,93.32,93.32
2021,Sage,78108,98.5,98.5,93.12,94.67,98.5,98.5,95.44,95.44,98.54,98.54,92.98,92.98,98.54,98.54,94.12,94.12
2022,Sage,76390,98.41,98.41,92.73,94.31,98.41,98.41,94.91,94.91,98.43,98.43,92.84,92.84,98.43,98.43,94.16,94.16
2023,Sage,73081,98.44,98.44,93.17,94.77,98.44,98.44,95.39,95.39,98.46,98.46,93.26,93.26,98.46,98.46,94.76,94.76
2024,Sage,73166,98.66,98.66,93.54,95.04,98.66,98.66,95.54,95.54,98.67,98.67,93.87,93.87,98.67,98.67,95.4,95.4
2025,Sage,53544,98.7,98.7,94.99,96.78,98.7,98.7,97.2,97.2,98.73,98.73,95.83,95.83,98.73,98.73,97.26,97.26
2018,Springer Nature,263260,99.27,99.27,98,99.22,99.27,99.27,99.53,99.53,99.34,99.34,96.84,96.84,99.34,99.34,96.29,96.29
2019,Springer Nature,279223,99.34,99.34,98.22,99.4,99.34,99.34,99.66,99.66,99.39,99.39,97.04,97.04,99.39,99.39,96.33,96.33
2020,Springer Nature,308499,99.5,99.5,98.23,99.47,99.5,99.5,99.74,99.74,99.52,99.52,97.11,97.11,99.52,99.52,95.92,95.92
2021,Springer Nature,346046,99.58,99.58,98.42,99.58,99.58,99.58,99.88,99.88,99.58,99.58,97.29,97.29,99.58,99.58,95.54,95.54
2022,Springer Nature,350068,99.56,99.56,98.51,99.56,99.56,99.56,99.89,99.89,99.58,99.58,97.1,97.1,99.58,99.58,96.57,96.57
2023,Springer Nature,348673,99.54,99.54,98.21,99.36,99.54,99.54,99.72,99.72,99.57,99.57,96.44,96.44,99.57,99.57,96.57,96.57
2024,Springer Nature,400502,99.6,99.6,91.67,92.66,99.6,99.6,92.93,92.93,99.65,99.65,81.34,81.34,99.65,99.65,82.04,82.04
2025,Springer Nature,330376,99.66,99.66,62.07,62.59,99.66,99.66,62.7,62.7,99.7,99.7,69.55,69.55,99.7,99.7,69.72,69.72
2018,Taylor & Francis,119516,98.9,98.9,91.58,93.18,98.9,98.9,96.09,96.09,98.96,98.96,95.25,95.25,98.96,98.96,95.33,95.33
2019,Taylor & Francis,133732,99.15,99.15,92.49,93.94,99.15,99.15,96.61,96.61,99.21,99.21,96.04,96.04,99.21,99.21,95.78,95.78
2020,Taylor & Francis,138140,99.33,99.33,92.76,94.15,99.33,99.33,96.85,96.85,99.37,99.37,96.48,96.48,99.37,99.37,95.89,95.89
