publication_year,esac_publisher,total_dois,with_author,with_institutions,with_countries,with_is_corresponding,with_raw_author_name,with_raw_affiliation_strings,with_affiliations,with_walden_author,with_walden_institutions,with_walden_countries,with_walden_is_corresponding,with_walden_raw_author_name,with_walden_raw_affiliation_strings,with_walden_affiliations
2021,Taylor & Francis,138917,138067,128752,130670,138067,138067,134439,134439,138081,134357,134357,138081,138081,133400,133400
2021,The Royal Society,1745,1744,1731,1742,1744,1744,1743,1743,1745,1730,1730,1745,1745,1642,1642
2021,Walter de Gruyter,16440,15985,14569,15681,15985,15985,15776,15776,15936,14642,14642,15936,15936,15359,15359
2021,Wiley,245146,241936,238733,240648,241936,241936,241440,241440,241955,239645,239645,241955,241955,237219,237219
2022,AIP Publishing,23868,23773,21717,22220,23773,23773,22305,22305,23771,21331,21331,23771,23771,21472,21472
2022,American Chemical Society,60525,60492,60174,60291,60492,60492,60337,60337,60521,60128,60128,60521,60521,59694,59694
2022,American Physical Society,19985,19985,19926,19965,19985,19985,19976,19976,19985,19830,19830,19985,19985,17766,17766
2022,Association for Computing Machinery,4657,4656,4517,4556,4656,4656,4596,4596,4656,4532,4532,4656,4656,4550,4550
2022,BMJ Publishing,15126,15035,14448,14146,15035,15035,14842,14842,15046,14328,14328,15046,15046,14475,14475
2022,Brill,7059,6855,6240,6551,6855,6855,6616,6616,6849,6207,6207,6849,6849,6451,6451
2022,Bristol University Press,554,553,530,551,553,553,552,552,553,536,536,553,553,547,547
2022,Cambridge University Press,23532,22372,21223,21598,22372,22372,22017,22017,22274,20368,20368,22274,22274,20649,20649
2022,Company of Biologists,1517,1508,1425,1430,1508,1508,1435,1435,1458,1422,1422,1458,1458,1481,1481
2022,Elsevier,625406,619260,589950,594888,619260,619260,596427,596427,619066,398378,398378,619066,619066,397056,397056
2022,Emerald,15882,15618,15498,15723,15618,15618,15803,15803,15617,15428,15428,15617,15617,15653,15653
2022,IOP Publishing,19898,19878,16237,16313,19878,19878,16361,16361,19878,11779,11779,19878,19878,11132,11132
2022,IOS Press,5489,5459,5025,5162,5459,5459,5184,5184,5454,5016,5016,5454,5454,5135,5135
2022,IWA Publishing,1798,1796,1769,1794,1796,1796,1796,1796,1796,1781,1781,1796,1796,1787,1787
2022,John Benjamins Publishing,1491,1475,1411,1418,1475,1475,1449,1449,1473,1413,1413,1473,1473,1447,1447
2022,Karger,4451,4316,4381,4424,4316,4316,4428,4428,4309,1363,1363,4309,4309,1167,1167
2022,Oxford University Press,54355,53615,51754,52311,53615,53615,52432,52432,53618,51580,51580,53618,53618,51032,51032
2022,Portland Press,757,751,756,757,751,751,757,757,751,756,756,751,751,750,750
2022,Royal Society of Chemistry,34363,33180,34233,34303,33180,33180,34337,34337,33180,34233,34233,33180,33180,34003,34003
2022,Sage,76390,75173,70835,72046,75173,75173,72505,72505,75187,70922,70922,75187,75187,71929,71929
2022,Springer Nature,350068,348542,344839,348545,348542,348542,349686,349686,348600,339933,339933,348600,348600,338050,338050
2022,Taylor & Francis,130293,129557,120943,122734,129557,129557,126104,126104,129575,126083,126083,129575,129575,125332,125332
2022,The Royal Society,1649,1649,1641,1647,1649,1649,1649,1649,1649,1644,1644,1649,1649,1567,1567
2022,Walter de Gruyter,16103,15700,14466,15419,15700,15700,15521,15521,15640,14507,14507,15640,15640,15258,15258
2022,Wiley,235828,232741,230202,232225,232741,232741,232869,232869,232768,231192,231192,232768,232768,229511,229511
2023,AIP Publishing,35854,35704,18511,18658,35704,35704,18734,18734,35428,17697,17697,35428,35428,17785,17785
